                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |   11963766 |          0 |          0 |          0 |          0 |          0 |          0 |   11742884 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   11763444 |          0 |          0 |          0 |          0 |          0 |          0 |   11749165
  Cycles                             |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200 |   27473200
  IPC                                |       0.44 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.43 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.43 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.43
  Time (ns)                          |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300
  Idle time (ns)                     |     139345 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |     222621 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |     207834 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |    6868300 |     226060
  Idle time (%)                      |       2.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       3.2% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       3.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       3.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     373864 |          0 |          0 |          0 |          0 |          0 |          0 |     339984 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     342731 |          0 |          0 |          0 |          0 |          0 |          0 |     340572
  num incorrect                      |       5702 |          0 |          0 |          0 |          0 |          0 |          0 |        234 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |        280 |          0 |          0 |          0 |          0 |          0 |          0 |        227
  misprediction rate                 |      1.50% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.07% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.08% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.07%
