                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |   49822382 |          0 |          0 |          0 |          0 |          0 |          0 |   90706930 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   90729042 |          0 |          0 |          0 |          0 |          0 |          0 |   90733607
  Cycles                             |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000 |   97232000
  IPC                                |       0.51 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.93 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.93 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.93
  Time (ns)                          |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000
  Idle time (ns)                     |   16188947 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |    8347853 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |    8689883 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |   24308000 |    8748686
  Idle time (%)                      |      66.6% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      34.3% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      35.7% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      36.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8241708 |          0 |          0 |          0 |          0 |          0 |          0 |    5176208 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    5195174 |          0 |          0 |          0 |          0 |          0 |          0 |    5192781
  num incorrect                      |     542660 |          0 |          0 |          0 |          0 |          0 |          0 |     148257 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     129678 |          0 |          0 |          0 |          0 |          0 |          0 |     131899
  misprediction rate                 |      6.18% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      2.78% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      2.44% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      2.48%
