                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |  111353687 |          0 |          0 |          0 |          0 |          0 |          0 |  101873263 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  101881796 |          0 |          0 |          0 |          0 |          0 |          0 |  101247427
  Cycles                             |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200 |   73185200
  IPC                                |       1.52 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.39 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.39 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.38
  Time (ns)                          |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300
  Idle time (ns)                     |     379512 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |    2052789 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |    2150332 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |   18296300 |    2763901
  Idle time (%)                      |       2.1% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      11.2% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      11.8% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      15.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10726195 |          0 |          0 |          0 |          0 |          0 |          0 |    9260272 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    9255089 |          0 |          0 |          0 |          0 |          0 |          0 |    9323931
  num incorrect                      |     403204 |          0 |          0 |          0 |          0 |          0 |          0 |     314951 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     321871 |          0 |          0 |          0 |          0 |          0 |          0 |     253658
  misprediction rate                 |      3.62% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      3.29% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      3.36% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      2.65%
