                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   49822382 |   90706930 |          0 |          0 |          0 |          0 |          0 |          0 |   90732206 |   90730442 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800 |   96788800
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.51 |       0.94 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.94 |       0.94 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200
  Idle time (ns)                     |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   16151757 |    8278828 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |    8536204 |    8386734 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200 |   24197200
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      66.8% |      34.2% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      35.3% |      34.7% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    8254067 |    5182422 |          0 |          0 |          0 |          0 |          0 |          0 |    5201183 |    5194011 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     530301 |     142043 |          0 |          0 |          0 |          0 |          0 |          0 |     124097 |     130241 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      6.04% |      2.67% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      2.33% |      2.45% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
