                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |  101066690 |          0 |          0 |          0 |          0 |          0 |          0 |  100492568 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  100463124 |          0 |          0 |          0 |          0 |          0 |          0 |  100574337
  Cycles                             |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400 |   95256400
  IPC                                |       1.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.06
  Time (ns)                          |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100
  Idle time (ns)                     |    1831908 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |    2176604 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |    2233139 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |   23814100 |    2169724
  Idle time (%)                      |       7.7% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       9.1% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       9.4% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       9.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3947391 |          0 |          0 |          0 |          0 |          0 |          0 |    3842900 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    3838098 |          0 |          0 |          0 |          0 |          0 |          0 |    3842938
  num incorrect                      |      32511 |          0 |          0 |          0 |          0 |          0 |          0 |      26868 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      26275 |          0 |          0 |          0 |          0 |          0 |          0 |      27025
  misprediction rate                 |      0.82% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.69% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.68% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.70%
