                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  261545941 |          0 |          0 |          0 |          0 |  288274848 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  264061116 |          0 |          0 |          0 |          0 |  272081196 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400 |  318492400
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.82 |       0.00 |       0.00 |       0.00 |       0.00 |       0.91 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.83 |       0.00 |       0.00 |       0.00 |       0.00 |       0.85 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100
  Idle time (ns)                     |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |    6552532 |   79623100 |   79623100 |   79623100 |   79623100 |    6451916 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |    8001184 |   79623100 |   79623100 |   79623100 |   79623100 |    6401698 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100 |   79623100
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       8.2% |     100.0% |     100.0% |     100.0% |     100.0% |       8.1% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      10.0% |     100.0% |     100.0% |     100.0% |     100.0% |       8.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   28543412 |          0 |          0 |          0 |          0 |   31552650 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   27271095 |          0 |          0 |          0 |          0 |   28857067 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    4097967 |          0 |          0 |          0 |          0 |    3723086 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    3951983 |          0 |          0 |          0 |          0 |    3893785 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     12.55% |      0.00% |      0.00% |      0.00% |      0.00% |     10.55% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     12.66% |      0.00% |      0.00% |      0.00% |      0.00% |     11.89% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
