                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     | Core 16     | Core 17     | Core 18     | Core 19     | Core 20     | Core 21     | Core 22     | Core 23     | Core 24     | Core 25     | Core 26     | Core 27     | Core 28     | Core 29     | Core 30     | Core 31     | Core 32     | Core 33     | Core 34     | Core 35     | Core 36     | Core 37     | Core 38     | Core 39     | Core 40     | Core 41     | Core 42     | Core 43     | Core 44     | Core 45     | Core 46     | Core 47     | Core 48     | Core 49     | Core 50     | Core 51     | Core 52     | Core 53     | Core 54     | Core 55     | Core 56     | Core 57     | Core 58     | Core 59     | Core 60     | Core 61     | Core 62     | Core 63    
  Instructions                       |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |   149091186 |           0 |           0 |           0 |           0 |   217047881 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |   138515132 |           0 |           0 |           0 |           0 |  1372201568 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000 |  1170400000
  IPC                                |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.13 |        0.00 |        0.00 |        0.00 |        0.00 |        0.19 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.12 |        0.00 |        0.00 |        0.00 |        0.00 |        1.17 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000
  Idle time (ns)                     |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   261119452 |   292600000 |   292600000 |   292600000 |   292600000 |   269454252 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   260388867 |   292600000 |   292600000 |   292600000 |   292600000 |    32214731 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000 |   292600000
  Idle time (%)                      |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |       89.2% |      100.0% |      100.0% |      100.0% |      100.0% |       92.1% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |       89.0% |      100.0% |      100.0% |      100.0% |      100.0% |       11.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |    21027204 |           0 |           0 |           0 |           0 |     1228624 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |    13613870 |           0 |           0 |           0 |           0 |   155447725 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |       19862 |           0 |           0 |           0 |           0 |       63882 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |       51293 |           0 |           0 |           0 |           0 |    15143512 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.09% |       0.00% |       0.00% |       0.00% |       0.00% |       4.94% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.38% |       0.00% |       0.00% |       0.00% |       0.00% |       8.88% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
