                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  122375515 |          0 |          0 |          0 |          0 |  108131411 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  109322399 |          0 |          0 |          0 |          0 |  115315678 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600 |   92397600
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.32 |       0.00 |       0.00 |       0.00 |       0.00 |       1.17 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.18 |       0.00 |       0.00 |       0.00 |       0.00 |       1.25 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400
  Idle time (ns)                     |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |    3133930 |   23099400 |   23099400 |   23099400 |   23099400 |    5232977 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |    5082450 |   23099400 |   23099400 |   23099400 |   23099400 |    2125786 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400 |   23099400
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      13.6% |     100.0% |     100.0% |     100.0% |     100.0% |      22.7% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      22.0% |     100.0% |     100.0% |     100.0% |     100.0% |       9.2% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   12094107 |          0 |          0 |          0 |          0 |    9685684 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    9963920 |          0 |          0 |          0 |          0 |   10874564 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     809721 |          0 |          0 |          0 |          0 |     693691 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     693916 |          0 |          0 |          0 |          0 |     939634 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      6.28% |      0.00% |      0.00% |      0.00% |      0.00% |      6.68% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      6.51% |      0.00% |      0.00% |      0.00% |      0.00% |      7.95% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
