                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  122376012 |  108134466 |          0 |          0 |          0 |          0 |          0 |          0 |  109324067 |  115315296 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600 |   95761600
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.28 |       1.13 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.14 |       1.20 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400
  Idle time (ns)                     |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |    3099641 |    5166390 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |    5012415 |    2452956 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400 |   23940400
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      12.9% |      21.6% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      20.9% |      10.2% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   12094141 |    9685974 |          0 |          0 |          0 |          0 |          0 |          0 |    9963897 |   10875563 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     809784 |     693808 |          0 |          0 |          0 |          0 |          0 |          0 |     694149 |     938574 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      6.28% |      6.68% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      6.51% |      7.94% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       6.62 |       6.42 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       6.35 |       8.14 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   14682771 |   12497327 |          0 |          0 |          0 |          0 |          0 |          0 |   12459967 |   12371149 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |        141 |         36 |          0 |          0 |          0 |          0 |          0 |          0 |         45 |         36 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
